,0,1,2,3,4,5,6,7,8,9
0,-669.0,-781.0,-1163.0,-1045.0,-731.0,-1159.0,-633.0,-753.0,-621.0,-447.0
1,-957.0,-689.0,-1757.0,-1105.0,-856.0,-1464.0,-800.0,-1064.0,-980.0,-641.0
2,-845.0,-762.0,-1302.0,-1088.0,-772.0,-1131.0,-787.0,-749.0,-729.0,-404.0
3,-997.0,-931.0,-1745.0,-1093.0,-894.0,-1357.0,-933.0,-1084.0,-1063.0,-488.0
4,-899.0,-758.0,-1774.0,-1160.0,-892.0,-1441.0,-709.0,-1115.0,-942.0,-620.0
5,-618.0,-356.0,-1607.0,-373.0,-568.0,-882.0,-267.0,-707.0,-756.0,-377.0
6,-280.0,23.0,-1446.0,70.0,-127.0,-643.0,312.0,-651.0,-616.0,-160.0
7,352.0,330.0,-635.0,356.0,397.0,-303.0,590.0,162.0,-220.0,548.0
8,-122.0,184.0,-790.0,387.0,599.0,-253.0,346.0,-145.0,-217.0,569.0
9,-17.0,161.0,-849.0,279.0,251.0,-454.0,238.0,-124.0,-373.0,190.0
10,68.0,330.0,-187.0,214.0,345.0,-72.0,217.0,132.0,-15.0,249.0
11,-325.0,-92.0,-785.0,257.0,136.0,-302.0,-6.0,-200.0,-408.0,59.0
12,-173.0,-114.0,-918.0,192.0,38.0,-454.0,-38.0,-323.0,-411.0,48.0
13,-155.0,-92.0,-573.0,144.0,314.0,-508.0,32.0,-328.0,-404.0,-11.0
14,-34.0,-34.0,-826.0,171.0,239.0,-454.0,-64.0,-184.0,-453.0,31.0
15,277.0,100.0,-164.0,178.0,387.0,-253.0,138.0,213.0,-31.0,253.0
16,279.0,77.0,-3.0,327.0,506.0,-81.0,152.0,210.0,51.0,372.0
17,270.0,38.0,266.0,502.0,880.0,30.0,96.0,-286.0,-48.0,148.0
18,102.0,161.0,-329.0,342.0,405.0,-155.0,183.0,124.0,-24.0,213.0
19,0.0,-138.0,-308.0,-133.0,317.0,-727.0,-127.0,-54.0,-305.0,-147.0
20,-207.0,-298.0,-791.0,-292.0,-183.0,-781.0,-648.0,-269.0,-571.0,-72.0
21,-506.0,-413.0,-1170.0,-511.0,-369.0,-979.0,-460.0,-547.0,-649.0,-254.0
22,-589.0,-574.0,-1159.0,-701.0,-561.0,-1277.0,-634.0,-790.0,-698.0,-421.0
23,-551.0,-653.0,-1038.0,-918.0,-519.0,-917.0,-618.0,-439.0,-591.0,-230.0
24,-874.0,-781.0,-1584.0,-993.0,-882.0,-1458.0,-752.0,-1048.0,-937.0,-454.0
25,-943.0,-839.0,-1768.0,-1140.0,-852.0,-1454.0,-859.0,-1101.0,-948.0,-481.0
26,-962.0,-816.0,-1734.0,-1095.0,-953.0,-1386.0,-930.0,-1115.0,-1023.0,-541.0
27,-965.0,-850.0,-1803.0,-1160.0,-939.0,-1475.0,-864.0,-1114.0,-1022.0,-532.0
28,-930.0,-712.0,-1826.0,-942.0,-817.0,-1155.0,-824.0,-1124.0,-961.0,-524.0
29,-729.0,-471.0,-1684.0,-558.0,-383.0,-1067.0,-242.0,-919.0,-729.0,-378.0
