,0,1,2,3,4,5,6,7,8,9
0,235,250,247,253,266,275,258,277,140,182
1,210,189,161,192,184,237,206,241,126,138
2,144,161,115,198,151,183,150,171,83,95
3,160,169,100,182,122,153,193,139,61,87
4,199,295,144,157,184,206,357,205,138,168
5,372,782,313,880,447,686,1080,527,329,323
6,628,1201,550,1400,965,1029,1580,825,495,646
7,999,1391,853,1610,1540,1237,1745,1331,695,1309
8,1068,1564,1202,1602,1991,1459,1778,1505,941,1531
9,979,1311,1115,1546,1542,1330,1613,1511,877,1034
10,1009,1198,1186,1520,1381,1552,1363,1383,830,943
11,980,1116,1189,1475,1316,1473,1333,1398,829,778
12,919,1153,1092,1390,1210,1315,1296,1238,822,763
13,808,1115,1179,1383,1458,1322,1354,1312,792,770
14,1007,1116,1270,1429,1465,1365,1251,1408,800,819
15,1155,1124,1380,1428,1487,1435,1294,1503,895,865
16,1207,1116,1552,1484,1546,1635,1367,1577,1013,938
17,1363,1265,1748,1506,1626,1616,1503,1404,1077,996
18,1402,1211,1802,1390,1703,1693,1510,1820,1249,1069
19,1117,1058,1518,981,1386,1123,1146,1609,903,659
20,936,834,1131,836,1073,995,673,1327,602,624
21,705,684,863,725,795,792,790,961,486,517
22,479,518,544,540,584,589,542,669,401,385
23,378,368,432,380,414,481,382,483,280,275
24,275,313,280,285,282,310,326,299,188,205
25,261,207,216,214,226,218,238,236,151,167
26,219,138,161,174,171,192,165,201,107,113
27,189,173,116,172,145,171,211,173,91,93
28,221,267,162,294,186,307,312,243,130,155
29,395,680,345,767,444,609,952,513,317,291
30,441,1161,529,1356,907,882,1555,823,476,635
31,943,1357,880,1547,1520,1190,1688,1242,726,1214
32,1146,1438,1289,1655,1969,1375,1710,1552,738,1502
33,1011,1345,1242,1652,1453,1360,1500,1493,795,1077
34,1069,1202,1266,1537,1425,1455,1366,1388,832,863
35,949,1127,1173,1516,1287,1454,1341,1367,853,766
36,928,1095,1104,1352,1315,1355,1314,1232,757,746
37,891,1035,1161,1375,1395,1359,1282,1343,800,851
38,949,1081,1266,1420,1485,1348,1246,1289,823,800
39,1135,1174,1368,1453,1461,1400,1330,1394,874,900
40,1244,1196,1587,1412,1490,1531,1317,1507,1041,892
41,1348,1230,1748,1429,1672,1615,1436,1662,1121,930
42,1413,1210,1667,1441,1646,1652,1391,1620,1183,1009
43,1135,1081,1426,1058,1375,1115,1154,1568,848,738
44,983,840,1207,831,1102,944,905,1295,573,658
45,690,731,904,746,839,817,752,1058,513,521
46,528,570,633,586,590,630,613,652,420,390
47,392,357,427,372,407,455,405,469,273,289
48,296,280,277,274,287,332,320,351,183,201
49,215,219,212,234,218,265,251,242,126,137
50,247,166,165,177,182,171,173,181,96,97
51,173,197,127,192,143,200,225,161,83,101
52,236,269,167,291,204,311,336,237,127,155
53,392,696,325,803,472,618,1015,507,309,328
54,622,1184,529,1339,887,940,1499,818,464,652
55,945,1376,809,1602,1549,1240,1728,1276,741,1235
56,980,1544,1041,1670,1878,1419,1615,1477,1057,1432
57,908,1059,1033,1294,1408,1223,1278,1225,667,902
58,853,1035,992,1384,1185,1274,1127,1181,688,740
59,785,1083,1173,1221,1117,1467,1320,1302,846,569
60,865,1133,1115,1391,1272,1345,1297,1281,774,766
61,960,1073,1155,1348,1371,1325,1249,1360,779,779
62,1026,1143,1324,1429,1557,1367,1335,1389,840,866
63,1111,1115,1322,1425,1419,1532,1240,1462,895,878
64,1235,1126,1414,1426,1396,1570,1266,1375,932,836
65,1387,1223,1746,1402,1611,1798,1463,1745,1251,951
66,1415,1253,1748,1406,1659,1724,1444,1817,1257,1060
67,1141,1049,1460,1042,1378,1175,1184,1566,879,800
68,856,855,1151,908,1106,1007,961,1210,638,651
69,664,703,860,798,841,866,783,994,549,582
70,498,577,667,598,654,697,645,765,409,432
71,437,393,460,378,433,471,405,500,294,323
72,279,311,341,319,376,308,306,352,180,212
73,252,243,235,266,255,269,247,240,129,162
74,158,202,154,209,172,227,196,207,94,101
75,161,201,127,201,144,232,244,165,86,100
76,213,276,157,331,216,282,320,246,134,153
77,436,682,347,779,473,604,952,512,310,294
78,611,1177,507,1368,903,949,1541,871,474,615
79,960,1403,834,1606,1520,1287,1680,1296,742,1270
80,1061,1529,1148,1619,1866,1480,1794,1531,1001,1481
81,969,1288,1093,1540,1453,1358,1530,1464,836,969
82,948,1127,1115,1481,1364,1376,1389,1253,816,839
83,959,1141,1166,1460,1435,1444,1307,1340,854,785
84,754,972,1063,1256,1214,1178,1215,1181,730,690
85,815,1104,1230,1363,1413,1474,1317,1359,781,833
86,907,1138,1333,1389,1478,1412,1336,1433,852,846
87,1055,1148,1406,1400,1437,1585,1351,1524,901,879
88,1190,1184,1630,1443,1504,1680,1331,1550,1002,864
89,1288,1276,1621,1503,1670,1635,1513,1724,1229,999
90,1393,1219,1822,1386,1664,1785,1422,1765,1249,974
91,1132,1092,1587,1071,1460,1201,1216,1569,883,828
92,954,877,1219,862,1151,1008,968,1364,615,699
93,749,718,966,739,918,897,827,1000,557,552
94,521,588,690,643,673,705,657,764,423,433
95,419,403,460,403,435,486,405,497,284,325
96,332,288,311,321,319,379,358,367,214,250
97,248,219,233,267,269,316,276,254,127,158
98,205,188,159,205,208,227,207,218,113,124
99,209,173,138,177,158,177,230,157,109,112
100,218,284,170,294,203,293,357,245,153,169
101,449,713,345,821,459,609,963,568,304,316
102,615,1150,514,1344,861,936,1494,843,463,606
103,960,1348,812,1585,1440,1319,1761,1284,729,1227
104,1032,1449,1122,1523,1793,1429,1808,1481,1011,1412
105,1002,1315,1232,1497,1566,1356,1605,1543,906,1031
106,1021,1234,1173,1638,1480,1543,1496,1384,909,899
107,914,1184,1207,1576,1393,1504,1381,1429,883,806
108,777,1023,1081,1385,1328,1290,1306,1245,773,733
109,858,1161,1288,1523,1601,1425,1445,1403,821,921
110,1049,1162,1363,1471,1598,1556,1414,1532,849,876
111,1140,1161,1437,1478,1553,1585,1381,1535,953,920
112,1243,1238,1585,1526,1601,1707,1364,1628,1065,992
113,1337,1290,1733,1448,1666,1731,1517,1749,1243,1066
114,1367,1242,1851,1456,1812,1680,1543,1662,1231,1029
115,1233,1145,1656,1102,1542,1219,1233,1592,914,836
116,1058,939,1301,903,1188,1081,1077,1477,669,792
117,842,797,1069,808,1025,944,913,1120,534,604
118,681,656,843,662,779,777,698,930,448,487
119,428,449,530,430,524,564,496,593,346,353
